VOLTS,CURRNT_NAMP,TEMP_DEGC,RH_PRCNT,TIME
0.4999859,7.972846000000001e-10,25.0,30.0,2026-04-13 13:10:31
0.999952,1.0712660000000001e-09,25.0,30.0,2026-04-13 13:10:31
1.499947,9.152755000000001e-10,25.0,30.0,2026-04-13 13:10:31
1.999928,3.773804e-10,25.0,30.0,2026-04-13 13:10:31
2.4998,3.8831990000000005e-09,25.0,30.0,2026-04-13 13:10:31
2.999674,1.607349e-09,25.0,30.0,2026-04-13 13:10:31
3.499631,1.9481230000000002e-09,25.0,30.0,2026-04-13 13:10:32
3.999846,1.853812e-09,25.0,30.0,2026-04-13 13:10:32
4.499805,2.26815e-09,25.0,30.0,2026-04-13 13:10:32
4.999751,2.152795e-09,25.0,30.0,2026-04-13 13:10:32
5.499687,1.6353590000000001e-09,25.0,30.0,2026-04-13 13:10:32
5.999937,2.737103e-09,25.0,30.0,2026-04-13 13:10:32
6.499873,2.327063e-09,25.0,30.0,2026-04-13 13:10:32
6.999689,2.674965e-09,25.0,30.0,2026-04-13 13:10:33
7.499645,2.5418810000000002e-09,25.0,30.0,2026-04-13 13:10:33
7.999514,2.6381320000000005e-09,25.0,30.0,2026-04-13 13:10:33
8.499705,2.742049e-09,25.0,30.0,2026-04-13 13:10:33
8.999655,2.592083e-09,25.0,30.0,2026-04-13 13:10:33
9.499553,2.4066000000000004e-09,25.0,30.0,2026-04-13 13:10:33
9.999434,2.865247e-09,25.0,30.0,2026-04-13 13:10:34
10.49975,2.800307e-09,25.0,30.0,2026-04-13 13:10:34
10.9996,2.8404919999999998e-09,25.0,30.0,2026-04-13 13:10:34
11.49948,3.4570650000000004e-09,25.0,30.0,2026-04-13 13:10:34
11.99941,3.3021410000000003e-09,25.0,30.0,2026-04-13 13:10:34
12.49961,3.093801e-09,25.0,30.0,2026-04-13 13:10:34
12.99953,3.626013e-09,25.0,30.0,2026-04-13 13:10:34
13.49946,4.004491e-09,25.0,30.0,2026-04-13 13:10:35
13.99931,3.907786000000001e-09,25.0,30.0,2026-04-13 13:10:35
14.49956,3.897441e-09,25.0,30.0,2026-04-13 13:10:35
14.99948,4.115551e-09,25.0,30.0,2026-04-13 13:10:35
15.49936,4.529222e-09,25.0,30.0,2026-04-13 13:10:35
15.99926,4.330207e-09,25.0,30.0,2026-04-13 13:10:35
16.49949,4.619445e-09,25.0,30.0,2026-04-13 13:10:36
16.9995,4.696694e-09,25.0,30.0,2026-04-13 13:10:36
17.49935,4.699408000000001e-09,25.0,30.0,2026-04-13 13:10:36
17.99931,4.7939710000000005e-09,25.0,30.0,2026-04-13 13:10:36
18.4996,4.82329e-09,25.0,30.0,2026-04-13 13:10:36
18.99953,5.0577560000000005e-09,25.0,30.0,2026-04-13 13:10:36
19.4994,4.620898000000001e-09,25.0,30.0,2026-04-13 13:10:36
19.99928,4.868884000000001e-09,25.0,30.0,2026-04-13 13:10:37
20.49948,4.642936e-09,25.0,30.0,2026-04-13 13:10:37
20.99946,4.796926e-09,25.0,30.0,2026-04-13 13:10:37
21.47763,6.4300160000000005e-09,25.0,30.0,2026-04-13 13:10:37
21.986,4.66504e-09,25.0,30.0,2026-04-13 13:10:37
22.48145,5.922447e-09,25.0,30.0,2026-04-13 13:10:37
22.97448,8.494838e-09,25.0,30.0,2026-04-13 13:10:37
23.43093,4.520731e-09,25.0,30.0,2026-04-13 13:10:38
23.97558,2.77246e-09,25.0,30.0,2026-04-13 13:10:38
24.47595,5.683654e-09,25.0,30.0,2026-04-13 13:10:38
24.93115,2.171631e-08,25.0,30.0,2026-04-13 13:10:38
25.48596,1.785566e-07,25.0,30.0,2026-04-13 13:10:38
25.98343,4.4030470000000005e-07,25.0,30.0,2026-04-13 13:10:38
26.4994,8.232871e-07,25.0,30.0,2026-04-13 13:10:39
26.98108,1.3404670000000003e-06,25.0,30.0,2026-04-13 13:10:39
27.47599,1.975572e-06,25.0,30.0,2026-04-13 13:10:39
27.99158,2.82887e-06,25.0,30.0,2026-04-13 13:10:39
28.48512,3.826657e-06,25.0,30.0,2026-04-13 13:10:39
28.98525,5.109140000000001e-06,25.0,30.0,2026-04-13 13:10:39
29.49876,6.757934000000001e-06,25.0,30.0,2026-04-13 13:10:40
29.99419,8.820594e-06,25.0,30.0,2026-04-13 13:10:40
